Scheduled time,Updated time,Arrival city,Airline,Flight number,Gate,Status,Distance,Price,,,,,,,,,,,,,
3:45 PM,3:50 PM,Manchester,Southwest,2593,A7,ON TIME,377,75.40,,,,,,,,,,,,,
7:20 PM,7:20 PM,Manchester,Southwest,3437,A11,ON TIME,377,75.40,,,,,,,,,,,,,
5:00 PM,5:00 PM,Memphis,Southwest,2289,C8,ON TIME,787,157.40,,,,,,,,,,,,,
9:39 AM,9:39 AM,Miami,Frontier,2983,D4,ON TIME,946,189.20,,,,,,,,,,,,,
9:45 AM,9:45 AM,Miami,Southwest,490,B3,BOARDING,946,189.20,,,,,,,,,,,,,
2:00 PM,2:00 PM,Miami,Southwest,3699,A13,ON TIME,946,189.20,,,,,,,,,,,,,
5:57 PM,5:57 PM,Miami,Spirit Airlines,1831,E2,ON TIME,946,189.20,,,,,,,,,,,,,
6:00 PM,6:00 PM,Miami,Southwest,3018,A9,ON TIME,946,189.20,,,,,,,,,,,,,
9:10 AM,9:08 AM,Milwaukee,Southwest,294,A12,DEPARTED,641,128.20,,,,,,,,,,,,,
3:00 PM,3:00 PM,Milwaukee,Southwest,1759,B2,ON TIME,641,128.20,,,,,,,,,,,,,
6:30 PM,6:30 PM,Milwaukee,Southwest,300,B13,ON TIME,641,128.20,,,,,,,,,,,,,
8:15 AM,8:31 AM,Minneapolis,Southwest,3554,C12,DEPARTED,936,187.20,,,,,,,,,,,,,
11:35 AM,11:35 AM,Minneapolis,Delta,1402,D23,ON TIME,936,187.20,,,,,,,,,,,,,
11:55 AM,11:55 AM,Minneapolis,Sun Country,194,D5,ON TIME,936,187.20,,,,,,,,,,,,,
7:03 PM,7:03 PM,Minneapolis,Delta,1362,D23,ON TIME,936,187.20,,,,,,,,,,,,,
9:25 AM,9:25 AM,Montego Bay,Southwest,918,B8,BOARDING,1426,285.20,,,,,,,,,,,,,
11:10 AM,11:10 AM,Montego Bay,Southwest,906,A15,ON TIME,1426,285.20,,,,,,,,,,,,,
8:40 AM,8:54 AM,Myrtle Beach,Southwest,2258,C10,DEPARTED,399,79.80,,,,,,,,,,,,,
4:20 PM,4:20 PM,Myrtle Beach,Southwest,1314,B4,ON TIME,399,79.80,,,,,,,,,,,,,
8:10 PM,8:10 PM,Myrtle Beach,Southwest,561,B2,ON TIME,399,79.80,,,,,,,,,,,,,
8:15 AM,8:57 AM,Nashville,Southwest,157,B15,DEPARTED,587,117.40,,,,,,,,,,,,,
1:30 PM,1:30 PM,Nashville,Southwest,1733,B8,ON TIME,587,117.40,,,,,,,,,,,,,
3:30 PM,3:30 PM,Nashville,Southwest,6018,A12,ON TIME,587,117.40,,,,,,,,,,,,,
4:55 PM,4:55 PM,Nashville,Southwest,2294,A11,ON TIME,587,117.40,,,,,,,,,,,,,
7:05 PM,7:05 PM,Nashville,Southwest,2550,A16,ON TIME,587,117.40,,,,,,,,,,,,,
9:25 AM,9:37 AM,New Orleans,Southwest,454,A10,BOARDING,998,199.60,,,,,,,,,,,,,
4:15 PM,4:15 PM,New Orleans,Southwest,3197,B6,ON TIME,998,199.60,,,,,,,,,,,,,
8:50 PM,8:50 PM,New Orleans,Southwest,717,A13,ON TIME,998,199.60,,,,,,,,,,,,,
5:09 PM,5:09 PM,New York-JFK,Delta,5380,D24,ON TIME,184,36.80,,,,,,,,,,,,,
8:40 AM,8:59 AM,Norfolk,Southwest,2328,A8,DEPARTED,159,31.80,,,,,,,,,,,,,
11:15 AM,11:44 AM,Norfolk,Southwest,2405,A9,ON TIME,159,31.80,,,,,,,,,,,,,
2:20 PM,2:20 PM,Norfolk,Southwest,709,A14,ON TIME,159,31.80,,,,,,,,,,,,,
5:55 PM,5:55 PM,Norfolk,Southwest,485,B2,ON TIME,159,31.80,,,,,,,,,,,,,
2:05 PM,2:05 PM,Oakland,Southwest,1970,B7,ON TIME,2447,489.40,,,,,,,,,,,,,
7:15 AM,7:28 AM,Orlando,Southwest,933,B4,DEPARTED,787,157.40,,,,,,,,,,,,,
8:10 AM,8:21 AM,Orlando,Southwest,1422,C9,DEPARTED,787,157.40,,,,,,,,,,,,,
8:51 AM,8:51 AM,Orlando,Frontier,1245,D4,ON TIME,787,157.40,,,,,,,,,,,,,
10:10 AM,10:12 AM,Orlando,Southwest,1501,B13,ON TIME,787,157.40,,,,,,,,,,,,,
12:00 PM,12:15 PM,Orlando,Southwest,224,A11,ON TIME,787,157.40,,,,,,,,,,,,,
1:40 PM,1:40 PM,Orlando,Southwest,256,C10,ON TIME,787,157.40,,,,,,,,,,,,,
3:35 PM,3:35 PM,Orlando,Southwest,4108,B8,ON TIME,787,157.40,,,,,,,,,,,,,
4:00 PM,4:00 PM,Orlando,Spirit Airlines,2004,D10,ON TIME,787,157.40,,,,,,,,,,,,,
5:25 PM,5:25 PM,Orlando,Southwest,3219,B10,ON TIME,787,157.40,,,,,,,,,,,,,
6:45 PM,6:45 PM,Orlando,Southwest,3264,B14,ON TIME,787,157.40,,,,,,,,,,,,,
6:54 PM,6:54 PM,Orlando,Spirit Airlines,2077,D10,ON TIME,787,157.40,,,,,,,,,,,,,
7:35 PM,7:35 PM,Orlando,Southwest,2640,C8,ON TIME,787,157.40,,,,,,,,,,,,,
12:20 PM,12:35 PM,Phoenix,Southwest,840,B6,ON TIME,1999,399.80,,,,,,,,,,,,,
8:45 PM,8:45 PM,Phoenix,Southwest,2214,B15,ON TIME,1999,399.80,,,,,,,,,,,,,
3:45 PM,3:45 PM,Pittsburgh,Southwest,522,B5,ON TIME,210,42.00,,,,,,,,,,,,,
8:25 AM,8:43 AM,"Portland,ME",Southwest,389,C11,DEPARTED,452,90.40,,,,,,,,,,,,,
12:05 PM,12:05 PM,"Portland,ME",Southwest,1301,B15,ON TIME,452,90.40,,,,,,,,,,,,,
2:50 PM,2:50 PM,"Portland,ME",Southwest,2052,A15,ON TIME,452,90.40,,,,,,,,,,,,,
8:55 AM,9:23 AM,Providence,Southwest,3292,A14,BOARDING,328,65.60,,,,,,,,,,,,,
10:45 AM,10:57 AM,Providence,Southwest,3220,B14,ON TIME,328,65.60,,,,,,,,,,,,,
1:30 PM,1:30 PM,Providence,Southwest,2103,A15,ON TIME,328,65.60,,,,,,,,,,,,,
3:25 PM,3:25 PM,Providence,Southwest,2274,B7,ON TIME,328,65.60,,,,,,,,,,,,,
7:25 PM,7:25 PM,Providence,Southwest,3817,A13,ON TIME,328,65.60,,,,,,,,,,,,,
8:40 AM,9:11 AM,"Punta Cana, DR",Southwest,811,B7,DEPARTED,1504,300.80,,,,,,,,,,,,,
8:20 AM,8:37 AM,Raleigh/Durham,Southwest,2291,B2,DEPARTED,255,51.00,,,,,,,,,,,,,
9:45 AM,10:01 AM,Raleigh/Durham,Southwest,1362,B10,ON TIME,255,51.00,,,,,,,,,,,,,
12:20 PM,12:20 PM,Raleigh/Durham,Southwest,3068,B12,ON TIME,255,51.00,,,,,,,,,,,,,
1:35 PM,1:35 PM,Raleigh/Durham,Southwest,2087,B6,ON TIME,255,51.00,,,,,,,,,,,,,
5:20 PM,5:20 PM,Raleigh/Durham,Southwest,2840,B13,ON TIME,255,51.00,,,,,,,,,,,,,
7:35 PM,7:35 PM,Raleigh/Durham,Southwest,1473,C10,ON TIME,255,51.00,,,,,,,,,,,,,
6:50 PM,6:50 PM,Reykjavik,PLAY,102,E8,ON TIME,2784,556.80,,,,,,,,,,,,,
8:35 PM,8:35 PM,Reykjavik,Icelandair,642,E4,ON TIME,2784,556.80,,,,,,,,,,,,,
9:30 AM,9:30 AM,"Rochester,NY",Southwest,725,B2,BOARDING,277,55.40,,,,,,,,,,,,,
